feature	coef	Family_Name
M01126_BPC1_Q2_FWD_6	0.656593477579435	BBR/BPC
M01126_BPC1_Q2_FWD_6	0.656593477579435	BBR/BPC-family of GAGA-motif binding transcription factors
M0654_1.02_REV_3	0.654373872520353	Dof
M1700_1.02_REV_1	-0.652566720621611	WRKY
M1576_1.02_FWD_3	-0.646790606388259	Sox
M0024_1.02_FWD_5	0.645023967765799	AP2
M00404_MADSB_Q2_FWD_2	0.635639884551539	MADS-box
M00404_MADSB_Q2_FWD_2	0.635639884551539	MADS
M2359_1.02_FWD_3	-0.634786974193393	bHLH
M1321_1.02_REV_7	0.630750096216125	Myb/SANT
M0581_1.02_FWD_4	-0.629473347338892	CG-1
M0119_1.02_FWD_6	-0.62417442440927	AT hook
M2348_1.02_FWD_5	0.610706036652972	MADS box
M1642_1.02_REV_2	-0.607399452832551	TBP
M1567_1.02_FWD_1_OC_P_ROOT	-0.607350872474044	SBP
M0852_1.02_FWD_7	0.601482543735122	Homeodomain
M0849_1.02_REV_2	-0.593510244344448	Homeodomain
M2347_1.02_FWD_1	-0.584240556345801	MADS box
M0760_1.02_FWD_6	-0.581185744025717	GATA
M0263_1.02_FWD_5	0.5725447184544	bZIP
M0273_1.02_FWD_6	-0.5673343330992	bZIP
M0008_1.02_FWD_6	0.566347602225247	AP2
M1317_1.02_FWD_4	0.564358622248423	Myb/SANT
M0371_1.02_REV_7_OC_P_ROOT	0.562729578624292	C2H2 ZF
M0371_1.02_FWD_6	0.559954793622571	C2H2 ZF
M1314_1.02_FWD_7_OC_P_ROOT	0.557348162310109	Myb/SANT
M0142_1.02_REV_2	0.556002418494353	AT hook
M2356_1.02_REV_5	0.555893153215397	MADS box
M0583_1.02_FWD_7	-0.554194216845124	CSD
M1648_1.02_FWD_2	0.549348551409714	TCP
M0262_1.02_FWD_7	0.547669411633307	bZIP
M1277_1.02_REV_6	0.54315733365557	MADF
M1315_1.02_REV_2	-0.540054079435472	Myb/SANT
M1338_1.02_REV_4	0.539438919509986	Myb/SANT
M0583_1.02_REV_2	0.538460930506197	CSD
M0010_1.02_REV_7	0.537404593976054	AP2
M1340_1.02_FWD_5	-0.5336240335638	Myb/SANT
M01059_AGL1_01_FWD_6	-0.530888421658885	MADS-box
M01059_AGL1_01_FWD_6	-0.530888421658885	MADS
M1647_1.02_REV_4	0.529209829458476	TCP
M1567_1.02_FWD_2_OC_P_ROOT	0.528733256867764	SBP
M1680_1.02_FWD_6	-0.528494893101706	WRKY
M0847_1.02_REV_6	-0.527917102620684	Homeodomain
M0653_1.02_FWD_6	0.526732924376601	Dof
M1411_1.02_FWD_6	0.521793750193782	NAC/NAM
M0371_1.02_FWD_5	0.520566199152688	C2H2 ZF
M1416_1.02_REV_6	0.511594700210558	NAC/NAM
M0262_1.02_FWD_6	0.503760713335772	bZIP
M0841_1.02_FWD_7	-0.503587421931236	Homeodomain
M1657_1.02_FWD_6	-0.502640944989381	TCP
M0167_1.02_REV_2	-0.499978949786193	bHLH
M1567_1.02_FWD_5_OC_P_LEAF	0.499888044090104	SBP
M2347_1.02_FWD_2	0.497122044525694	MADS box
M01189_CBNAC_02_FWD_6	0.496978393374254	NAC
M1564_1.02_REV_1	0.496120701707322	SBP
M01126_BPC1_Q2_FWD_5	-0.493250432143763	BBR/BPC
M01126_BPC1_Q2_FWD_5	-0.493250432143763	BBR/BPC-family of GAGA-motif binding transcription factors
M0012_1.02_REV_5	0.487252760144001	AP2
M1195_1.02_FWD_1	-0.484918731234043	Homeodomain
M0269_1.02_FWD_2	0.484712408668142	bZIP
M1340_1.02_REV_4	-0.478824079895565	Myb/SANT
M0681_1.02_REV_7	-0.478360695974296	EIN3
M1567_1.02_FWD_6_OC_P_ROOT	-0.478252340272743	SBP
M0764_1.02_FWD_1	0.475545608102822	GATA
M0769_1.02_REV_7	0.471546793253803	GATA
M0014_1.02_REV_3	-0.469526639454861	AP2
M0151_1.02_REV_1	-0.468649845816235	bHLH
M0842_1.02_REV_2	0.461039975745566	Homeodomain
M1701_1.02_FWD_3	-0.460566840050532	WRKY
M0021_1.02_FWD_1	0.457937043708601	AP2
M1567_1.02_FWD_3_OC_P_LEAF	-0.457262220679799	SBP
M1682_1.02_REV_1	-0.456950545016705	WRKY
M00344_RAV1_02_REV_7	-0.451545564908772	RAV
M0843_1.02_REV_5	-0.449582384496164	Homeodomain
M1940_1.02_FWD_7	0.448145735231138	C2H2 ZF
M1277_1.02_FWD_7	-0.445906994349251	MADF
M01050_ARR10_01_REV_4	0.44488044718527	ARR-B
M01050_ARR10_01_REV_4	0.44488044718527	Response Regulator
M0590_1.02_REV_7	0.442364720427307	CxC
M2348_1.02_REV_5_OC_P_LEAF	0.442227171661274	MADS box
M1564_1.02_FWD_5	0.438668164265461	SBP
M0262_1.02_REV_4	0.436943861550896	bZIP
M0841_1.02_REV_3	0.429875299557072	Homeodomain
